Time,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Pressure,Temp,DeltaP,AirspeedTemp,Speed,Power,Airspeed
34.053,1.44,-0.76,9.61,-0.03,-0.03,0.01,1013.4,22.8,-40.5,20.6,0.00,0,0.00
34.168,1.53,-0.64,9.83,-0.06,-0.04,0.00,1013.9,22.9,-41.6,20.6,0.00,0,0.00
34.265,1.50,-0.91,9.81,0.02,0.00,0.01,1013.5,22.9,-41.6,20.6,0.00,0,0.00
34.362,1.58,-0.89,9.79,-0.10,-0.07,-0.01,1013.2,22.8,-44.7,20.6,0.00,0,0.00
34.460,1.77,-0.77,9.62,-0.01,-0.02,-0.00,1014.0,22.8,-41.6,20.6,0.00,0,0.00
34.557,1.68,-0.91,9.75,0.01,-0.00,0.00,1013.3,22.9,-40.5,20.6,0.00,0,0.00
34.671,1.57,-0.77,9.75,0.01,0.00,0.00,1014.1,22.9,-43.7,20.6,0.00,0,0.00
34.769,1.64,-0.88,9.78,-0.01,-0.00,0.01,1013.3,23.1,-44.7,20.6,0.00,0,0.00
34.936,1.58,-0.90,9.73,-0.03,0.01,0.00,1013.4,23.0,-40.5,20.6,0.00,0,0.00
34.961,1.73,-0.92,9.71,-0.03,-0.00,0.01,1013.7,23.0,-43.7,20.6,0.00,0,0.00
35.059,1.67,-1.02,9.73,-0.03,-0.00,0.01,1013.5,22.9,-43.7,20.6,0.00,0,0.00
35.173,1.36,-0.89,9.51,0.00,-0.00,0.01,1013.7,22.9,-46.8,20.6,0.00,0,0.00
35.270,2.08,-0.47,9.78,0.07,-0.01,0.00,1013.7,22.9,-46.8,20.6,0.00,0,0.00
35.367,1.37,-1.09,9.95,0.08,-0.01,-0.01,1013.7,23.0,-46.8,20.6,0.00,0,0.00
35.465,1.39,-0.76,9.84,0.02,-0.00,-0.01,1013.5,23.0,-43.7,20.6,0.00,0,0.00
35.562,1.68,-1.11,9.89,0.02,0.01,-0.01,1013.4,23.0,-41.6,20.6,0.00,0,0.00
35.676,1.59,-0.96,9.79,0.04,-0.01,-0.01,1013.6,23.1,-46.8,20.6,0.00,0,0.00
35.773,1.63,-0.83,10.13,0.03,-0.01,0.02,1013.9,22.9,-43.7,20.6,0.00,0,0.00
35.870,1.13,-0.92,9.95,0.03,0.01,-0.01,1013.5,22.9,-44.7,20.6,0.00,0,0.00
35.976,-0.88,-3.24,8.78,0.12,-0.02,-0.09,1013.6,22.9,-43.7,20.6,0.00,0,0.00
36.074,2.40,-1.29,9.73,0.01,-0.01,-0.01,1014.0,22.9,-44.7,20.6,0.00,0,0.00
36.164,1.62,-0.73,9.84,0.00,0.00,-0.02,1013.9,22.9,-43.7,20.6,0.00,0,0.00
36.261,1.99,-0.70,9.68,-0.00,0.00,-0.01,1013.8,23.0,-43.7,20.6,0.00,0,0.00
36.358,1.97,-1.14,9.52,0.01,0.00,0.00,1014.1,22.9,-43.7,20.6,0.00,0,0.00
36.456,1.87,-0.73,9.81,-0.03,0.01,0.02,1014.0,23.1,-43.7,20.6,0.00,0,0.00
36.553,2.17,-0.90,9.91,0.01,0.00,0.00,1013.8,22.9,-41.6,20.6,0.00,0,0.00
36.667,1.92,-0.85,9.83,0.01,0.00,-0.01,1014.1,22.9,-43.7,20.6,0.00,0,0.00
36.764,2.19,-0.65,9.58,0.06,-0.01,-0.01,1013.9,23.1,-43.7,20.6,0.00,0,0.00
36.861,2.38,-0.69,9.61,0.00,-0.00,-0.00,1013.7,23.0,-43.7,20.6,0.00,0,0.00
36.958,1.84,-1.37,9.58,0.01,0.01,-0.03,1013.8,22.9,-44.7,20.6,0.00,0,0.00
37.064,2.38,-0.49,9.57,-0.00,0.01,-0.00,1013.4,23.0,-43.7,20.6,0.00,0,0.00
37.154,2.05,-1.16,8.93,0.02,-0.01,-0.03,1013.9,22.9,-40.5,20.6,0.00,0,0.00
37.275,1.38,-0.40,9.53,0.09,0.03,-0.01,1013.8,22.9,-43.7,20.6,0.00,0,0.00
37.372,2.05,-1.02,11.03,0.07,0.04,-0.02,1013.7,23.0,-40.5,20.6,0.00,0,0.00
37.471,3.02,-0.71,10.24,0.06,0.02,-0.05,1014.3,23.1,-43.7,20.6,0.00,0,0.00
37.568,3.15,-0.79,9.91,-0.02,-0.01,-0.03,1014.3,23.0,-44.7,20.6,0.00,0,0.00
37.658,1.14,-1.07,10.79,0.00,0.12,-0.10,1013.8,22.8,-43.7,20.6,0.00,0,0.00
37.756,3.29,-1.04,8.97,-0.03,-0.13,-0.16,1014.0,23.1,-43.7,20.6,0.00,0,0.00
37.853,0.55,-0.37,10.40,0.05,0.18,-0.19,1013.8,23.0,-38.4,20.6,0.00,0,0.00
37.976,2.23,-0.34,8.03,0.03,-0.06,-0.14,1013.5,22.9,-41.6,20.6,0.00,0,0.00
38.138,-2.25,0.11,6.63,-0.01,0.30,-0.49,1013.5,22.8,-37.4,20.6,0.00,0,0.00
38.180,2.45,0.52,13.49,-0.36,0.17,-0.27,1013.9,22.9,-34.2,20.6,0.00,0,0.00
38.255,1.10,-0.23,9.44,0.07,-0.01,-0.16,1014.0,22.9,-35.2,20.6,0.00,0,0.00
38.376,0.51,-0.16,10.20,-0.05,0.06,-0.21,1013.8,22.9,-38.4,20.6,0.00,0,0.00
38.474,0.13,-2.29,8.07,-0.45,0.22,-0.05,1014.0,22.8,-40.5,20.6,0.00,0,0.00
38.571,2.07,-1.06,10.73,0.11,-0.07,-0.30,1013.7,22.9,-41.6,20.6,0.00,0,0.00
