Time,A_X,A_Y,A_Z,G_X,G_Y,G_Z,Temperature,AirDensity,vSpeed,RPS,Delta_Pressure,wind_speed_ms,power,cadence
59.731,0.91,-2.78,10.91,-0.02,-0.13,-1.06,14.4,1.22,1.12,0.53,-549.10,0.0,0.00,0.0
61.743,3.01,0.45,7.88,0.42,-0.12,0.79,14.3,1.22,2.54,1.21,-568.10,0.0,0.00,0.0
63.514,2.20,2.06,8.68,-0.48,-0.22,-0.93,14.3,1.22,2.32,1.10,-555.40,0.0,0.00,0.0
65.287,-2.68,-0.70,11.17,-0.31,-0.12,-1.04,14.2,1.23,2.40,1.14,-574.40,0.0,0.00,0.0
67.056,0.45,-0.36,10.00,0.50,-0.05,0.16,14.1,1.23,2.89,1.37,-574.40,0.0,0.00,0.0
68.890,0.64,0.33,10.00,0.04,-0.10,-0.57,14.1,1.23,3.21,1.53,-574.40,0.0,0.00,0.0
70.659,0.83,-0.83,10.47,-0.54,0.01,-0.60,14.1,1.23,3.60,1.71,-587.00,0.0,0.00,0.0
72.431,-0.30,-1.28,14.10,-0.05,-0.35,-1.00,13.9,1.23,3.96,1.88,-568.10,0.0,0.00,0.0
74.206,-1.68,1.86,10.84,-0.55,-0.18,-0.90,13.9,1.23,4.07,1.93,-536.50,0.0,0.00,0.0
75.977,-3.06,0.05,10.47,0.49,-0.07,0.11,13.9,1.23,4.19,1.99,-587.00,0.0,0.00,0.0
77.750,-1.14,0.27,10.21,-0.13,-0.16,-0.73,13.8,1.23,4.38,2.08,-555.40,0.0,0.00,0.0
79.520,2.62,-1.40,10.52,-0.15,0.02,-0.19,13.7,1.23,4.35,2.07,-549.10,0.0,0.00,0.0
81.479,-1.95,0.06,16.86,-0.05,-0.31,-0.98,13.6,1.23,4.31,2.05,-605.90,0.0,0.00,0.0
83.252,-1.18,-1.54,7.41,-0.64,-0.29,-0.89,13.6,1.23,4.29,2.04,-549.10,0.0,0.00,0.0
85.023,2.41,-1.41,8.78,-0.19,0.01,-0.39,13.5,1.23,4.24,2.01,-530.20,0.0,0.00,0.0
